strain	value
NOR/LtJ	1.008
NOR/LtJ	0.882
NOR/LtJ	1.103
NOR/LtJ	0.882
NOR/LtJ	0.882
NOR/LtJ	1.323
NZB/BlNJ	0.397
NZB/BlNJ	0.568
NZB/BlNJ	0.397
NZB/BlNJ	0.298
NZB/BlNJ	0.497
NZB/BlNJ	0.397
NZB/BlNJ	0.568
NZB/BlNJ	0.709
NZB/BlNJ	0.164
NZB/BlNJ	0.245
NZB/BlNJ	0.082
NZB/BlNJ	0.43
NZB/BlNJ	0.818
NZB/BlNJ	0.245
NZL/LtJ	0.766
NZL/LtJ	1.064
NZL/LtJ	0.958
NZL/LtJ	0.681
NZL/LtJ	0.851
NZL/LtJ	0.851
NZL/LtJ	0.766
NZL/LtJ	0.851
NZW/LacJ	0.919
NZW/LacJ	1.034
NZW/LacJ	0.919
NZW/LacJ	0.886
NZW/LacJ	0.886
NZW/LacJ	0.788
NZW/LacJ	0.788
NZW/LacJ	0.919
NZW/LacJ	0.984
NZW/LacJ	0.525
P/J	1.008
P/J	0.756
P/J	1.008
P/J	0.882
P/J	0.882
P/J	1.008
P/J	0.63
P/J	0.882
RIIIS/J	1.375
RIIIS/J	1.46
RIIIS/J	1.375
RIIIS/J	1.145
RIIIS/J	1.375
RIIIS/J	0.802
RIIIS/J	0.974
RIIIS/J	0.802
SEA/GnJ	1.022
SEA/GnJ	0.894
SEA/GnJ	0.851
SEA/GnJ	0.958
SEA/GnJ	1.341
SEA/GnJ	0.745
SEA/GnJ	1.064
SEA/GnJ	0.851
SJL/J	1.225
SJL/J	1.225
SJL/J	0.945
SJL/J	0.857
SJL/J	0.98
SJL/J	1.102
SJL/J	1.4
SJL/J	1.225
SJL/J	1.024
SM/J	0.766
SM/J	0.795
SM/J	0.639
SM/J	0.596
SM/J	0.681
SM/J	0.681
SM/J	0.681
SM/J	0.695
SWR/J	1.375
SWR/J	1.375
SWR/J	1.26
SWR/J	1.102
SWR/J	1.46
SWR/J	1.417
SWR/J	1.582
TALLYHO/JngJ	1.25
TALLYHO/JngJ	1.169
TALLYHO/JngJ	1.169
TALLYHO/JngJ	1.364
TALLYHO/JngJ	1.137
TALLYHO/JngJ	1.364
TALLYHO/JngJ	1.364
